otu	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	chimera.uchime	chimera.slayer	RDP_Domain	RDP_Domain_conf	RDP_Phylum	RDP_Phylum_conf	RDP_Class	RDP_Class_conf	RDP_Order	RDP_Order_conf	RDP_Family	RDP_Family_conf	RDP_Genus	RDP_Genus_conf	SILVA_Taxonomy	evalue	match
3239	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Planctomycetes	98	Planctomycetacia	98	Planctomycetales	98	Planctomycetaceae	98	Planctomyces	82	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;uncultured bacterium	3e-135	25340
3242	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	98	Firmicutes	54	Clostridia	46	Clostridiales	31	Incertae Sedis III	5	Caldanaerovirga	3	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;PAUC34f;uncultured sponge symbiont PAUC34f	3e-61	90976
3243	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Planctomycetes	49	Phycisphaerae	41	Phycisphaerales	41	Phycisphaeraceae	41	Phycisphaera	41	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;uncultured bacterium	2e-80	90911
3244	0	0	1	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	N	N	Bacteria	99	Planctomycetes	59	Phycisphaerae	47	Phycisphaerales	47	Phycisphaeraceae	47	Phycisphaera	47	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;uncultured bacterium	3e-104	80425
3245	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodospirillales	98	Acetobacteraceae	41	Stella	41	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;DA111;uncultured Rhodospirillales bacterium	5e-121	86042
3246	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	5	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhizobiales	100	Bradyrhizobiaceae	100	Bradyrhizobium	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium elkanii	4e-140	97692
3249	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Deltaproteobacteria	100	Bdellovibrionales	100	Bacteriovoracaceae	100	Bacteriovorax	100	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoraceae;uncultured;Bacteriovorax sp. IP1	3e-135	54100
3250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	94	Deltaproteobacteria	92	Bdellovibrionales	91	Bacteriovoracaceae	91	Bacteriovorax	62	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoraceae;uncultured;uncultured bacterium	1e-115	31544
3251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Verrucomicrobia	98	Verrucomicrobiae	98	Verrucomicrobiales	98	Verrucomicrobiaceae	98	Luteolibacter	83	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;DEV007;uncultured bacterium	3e-135	26964
3252	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	N	N	Bacteria	99	Proteobacteria	45	Deltaproteobacteria	28	Desulfovibrionales	24	Desulfovibrionaceae	16	Bilophila	16	Bacteria;Planctomycetes;OM190;uncultured Planctomyces sp.	3e-116	66946
3253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	99	Nitrospira	66	Nitrospira	66	Nitrospirales	66	Nitrospiraceae	66	Nitrospira	66	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium	4e-128	57575
3254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Planctomycetes	12	Planctomycetacia	12	Planctomycetales	12	Planctomycetaceae	12	Blastopirellula	5	Bacteria;Planctomycetes;BD7-11;uncultured planctomycete	8e-83	52638
3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	N	N	Bacteria	100	Proteobacteria	24	Alphaproteobacteria	10	Rhodobacterales	9	Rhodobacteraceae	9	Roseibacterium	9	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	2e-80	96781
3256	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	60	Bacilli	29	Lactobacillales	22	Aerococcaceae	12	Eremococcus	4	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	8e-114	84853
3258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	42	Gammaproteobacteria	33	Oceanospirillales	15	Oceanospirillaceae	15	Bermanella	6	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	3e-104	19423
3259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	71	Clostridia	52	Halanaerobiales	18	Halobacteroidaceae	18	Natroniella	17	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;uncultured bacterium	2e-99	36976
3260	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	99	Firmicutes	33	Erysipelotrichia	4	Erysipelotrichales	4	Erysipelotrichaceae	4	Bulleidia	2	Bacteria;TM6;uncultured bacterium	2e-102	28471
3261	0	0	0	1	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	0	N	N	Bacteria	99	Firmicutes	19	Clostridia	14	Clostridiales	14	Clostridiaceae 3	4	Thermohalobacter	3	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	1e-118	40814
3262	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	N	N	Bacteria	99	Planctomycetes	25	Planctomycetacia	25	Planctomycetales	25	Planctomycetaceae	25	Isosphaera	24	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	2e-111	40814
3263	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Actinobacteria	25	Actinobacteria	25	Acidimicrobiales	10	Iamiaceae	5	Iamia	5	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	7e-108	17573
3264	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	N	N	Bacteria	100	Proteobacteria	92	Gammaproteobacteria	76	Alteromonadales	48	Alteromonadaceae	48	Melitea	45	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	2e-111	69911
3265	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	N	N	Bacteria	99	Firmicutes	45	Bacilli	10	Bacillales	6	Bacillales_Incertae Sedis X	4	Thermicanus	4	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	7e-102	59258
3266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	90	Alphaproteobacteria	59	Rhodospirillales	33	Rhodospirillaceae	27	Telmatospirillum	16	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;uncultured bacterium	4e-100	9699
3267	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	29	Clostridia	21	Clostridiales	16	Clostridiaceae 2	11	Anaerovirgula	11	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae;uncultured;uncultured bacterium	9e-126	68845
3268	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	91	Deltaproteobacteria	56	Desulfovibrionales	52	Desulfovibrionaceae	32	Bilophila	30	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;marine metagenome	3e-85	46934
3269	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	80	Deltaproteobacteria	48	Desulfovibrionales	24	Desulfohalobiaceae	16	Desulfovermiculus	10	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;uncultured bacterium	3e-85	17007
3270	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	N	N	Bacteria	100	Proteobacteria	82	Deltaproteobacteria	32	Desulfovibrionales	25	Desulfovibrionaceae	13	Bilophila	12	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;marine metagenome	6e-90	46934
3271	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Verrucomicrobia	67	Opitutae	67	Puniceicoccales	53	Puniceicoccaceae	53	Coraliomargarita	36	Bacteria;Verrucomicrobia;Opitutae;MB11C04 marine group;uncultured bacterium	3e-135	18445
3272	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Verrucomicrobia	63	Opitutae	62	Puniceicoccales	50	Puniceicoccaceae	50	Coraliomargarita	49	Bacteria;Verrucomicrobia;Opitutae;A714019;uncultured Verrucomicrobia bacterium	3e-85	64555
3273	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	73	Deltaproteobacteria	62	Desulfobacterales	37	Desulfobacteraceae	29	Desulfospira	16	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured deep-sea bacterium	4e-97	77821
3277	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Cyanobacteria/Chloroplast	98	Cyanobacteria	98	Family XIII	93	Family XIII	93	GpXIII	93	Bacteria;Cyanobacteria;SubsectionIII;Lyngbya;uncultured bacterium	1e-84	17328
3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	97	Cyanobacteria/Chloroplast	85	Cyanobacteria	85	Family XIII	56	Family XIII	56	GpXIII	56	Bacteria;Cyanobacteria;SubsectionIII;Microcoleus;Microcoleus chthonoplastes PCC 7420	2e-108	79218
3280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Cyanobacteria/Chloroplast	92	Cyanobacteria	89	Family XIII	47	Family XIII	47	GpXIII	47	Bacteria;Cyanobacteria;SubsectionIII;Lyngbya;Phormidiaceae cyanobacterium SAG 31.92	5e-121	74238
3282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	99	Flavobacteriales	99	Flavobacteriaceae	99	Olleya	17	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;NS5 marine group;marine metagenome	4e-140	23977
3283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	79	Flavobacteriales	79	Flavobacteriaceae	67	Elizabethkingia	33	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Flavobacterium sp.	3e-135	81721
3284	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	61	Flavobacteriales	61	Cryomorphaceae	33	Owenweeksia	30	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Flavobacteriales bacterium	7e-102	80452
3285	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	100	Flavobacteriales	100	Cryomorphaceae	100	Owenweeksia	100	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;Owenweeksia hongkongensis	9e-126	36468
3287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	98	Sphingobacteria	66	Sphingobacteriales	66	Flammeovirgaceae	58	Fabibacter	35	Bacteria;Bacteroidetes;SB-5;uncultured bacterium	1e-87	68645
3292	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	N	N	Bacteria	100	Proteobacteria	90	Gammaproteobacteria	86	Alteromonadales	85	Alteromonadaceae	85	Salinimonas	84	Bacteria;Verrucomicrobia;Arctic97B-4 marine group;uncultured organism	1e-106	66268
3303	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	N	N	Bacteria	100	Proteobacteria	84	Gammaproteobacteria	55	Alteromonadales	51	Alteromonadaceae	51	Salinimonas	51	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium	7e-108	34869
3305	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	98	Actinobacteria	13	Actinobacteria	13	Actinomycetales	13	Nakamurellaceae	5	Nakamurella	2	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium	1e-72	72703
3306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	N	N	Bacteria	100	Proteobacteria	33	Deltaproteobacteria	3	Desulfobacterales	3	Desulfobacteraceae	3	Desulfatirhabdium	3	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;uncultured;uncultured bacterium	5e-07	83516
3307	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	N	N	Bacteria	100	Proteobacteria	60	Deltaproteobacteria	12	Desulfarculales	8	Desulfarculaceae	8	Desulfarculus	8	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;Hahella ganghwensis	1e-63	59597
3308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Chloroflexi	48	Chloroflexi	24	Chloroflexales	24	Chloroflexaceae	24	Heliothrix	23	Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Candidatus Chlorothrix;Candidatus Chlorothrix halophila	2e-99	93994
3309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	99	Chloroflexi	58	Chloroflexi	52	Chloroflexales	52	Chloroflexaceae	52	Heliothrix	52	Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Candidatus Chlorothrix;uncultured Chloroflexi bacterium	2e-130	82875
3311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Acidobacteria	100	Acidobacteria_Gp10	94	Gp10	94	Gp10	94	Gp10	94	Bacteria;Acidobacteria;Holophagae;43F-1404R;uncultured bacterium	2e-123	13950
3316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	99	Caulobacterales	75	Hyphomonadaceae	74	Maricaulis	63	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Maricaulis;alpha proteobacterium GMD21C01	3e-116	10382
3318	0	0	0	3	0	2	1	2	0	4	0	6	1	5	0	0	0	1	1	0	0	1	1	4	1	1	2	1	0	4	0	2	0	0	0	3	2	0	1	2	1	4	0	4	0	1	1	3	1	4	0	3	0	2	0	2	1	3	0	0	N	N	Bacteria	100	Deferribacteres	30	Deferribacteres	30	Deferribacterales	30	Deferribacteraceae	30	Calditerrivibrio	27	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	6e-124	24329
3320	12	5	4	1	7	2	2	1	16	3	25	12	27	24	12	8	18	10	33	22	21	10	1	0	0	0	3	3	5	3	2	0	4	0	1	0	0	0	1	1	0	0	1	2	0	5	2	1	6	1	1	0	0	4	0	3	1	1	24	18	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	99	Pseudoalteromonadaceae	96	Pseudoalteromonas	96	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;uncultured marine bacterium	6e-133	58641
3324	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodobacterales	100	Rhodobacteraceae	100	Loktanella	59	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;Sulfitobacter sp. NAS-14.1	5e-112	89193
3327	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	95	Alphaproteobacteria	76	Rhodobacterales	45	Rhodobacteraceae	45	Salinihabitans	5	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;uncultured marine bacterium	1e-118	51090
3328	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	2	0	1	0	0	0	0	N	N	Bacteria	100	Proteobacteria	96	Gammaproteobacteria	84	Oceanospirillales	45	Oceanospirillaceae	43	Oleispira	29	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured gamma proteobacterium	3e-104	48348
3329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	100	Flavobacteriales	100	Flavobacteriaceae	99	Lutibacter	98	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured Cytophaga sp.	4e-140	34458
3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	50	Flavobacteriales	50	Cryomorphaceae	48	Owenweeksia	31	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured bacterium	5e-121	102242
